City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
80,Dawson Creek,CA,55.7666,-120.2362,42.8,42,40,6.91,scattered clouds
81,Alofi,NU,-19.0595,-169.9187,77.0,94,98,5.75,overcast clouds
82,Chulman,RU,56.8479,124.9104,9.28,96,100,4.36,overcast clouds
83,Castro,BR,-24.7911,-50.0119,72.57,54,4,6.06,clear sky
84,Mogadishu,SO,2.0371,45.3438,82.33,79,93,12.39,overcast clouds
85,Denia,ES,38.8408,0.1057,57.99,77,0,4.5,clear sky
86,Saldanha,ZA,-33.0117,17.9442,66.2,82,0,11.5,clear sky
87,Yazykovo,RU,55.2199,56.1353,31.87,98,100,10.65,snow
88,Kasaoka,JP,34.5,133.5,52.0,84,100,6.69,overcast clouds
89,Tevriz,RU,57.509,72.4042,33.42,84,100,9.13,overcast clouds
90,Mar Del Plata,AR,-38.0023,-57.5575,71.6,78,40,17.27,scattered clouds
91,Buraydah,SA,26.326,43.975,68.0,28,0,10.36,clear sky
92,Ribeira Grande,PT,38.5167,-28.7,60.8,94,75,17.27,broken clouds
93,Jiwani,PK,25.05,61.7417,81.63,67,0,8.7,clear sky
94,Qaanaaq,GL,77.484,-69.3632,-11.63,68,25,6.26,scattered clouds
95,Iqaluit,CA,63.7506,-68.5145,10.4,79,20,5.75,few clouds
96,Upernavik,GL,72.7868,-56.1549,-9.65,83,7,10.96,clear sky
97,Lorengau,PG,-2.0226,147.2712,79.75,82,100,1.59,overcast clouds
98,Mount Isa,AU,-20.7333,139.5,69.8,73,40,5.75,scattered clouds
99,Saint Anthony,US,45.0205,-93.218,80.6,25,1,16.11,clear sky
100,Hithadhoo,MV,-0.6,73.0833,83.82,71,100,18.37,overcast clouds
101,Mutis,CO,6.2262,-77.4044,83.62,73,98,5.97,overcast clouds
102,Hasaki,JP,35.7333,140.8333,64.4,100,75,5.75,light rain
103,Cape Town,ZA,-33.9258,18.4232,68.0,88,75,18.41,broken clouds
104,Vung Tau,VN,10.346,107.0843,81.39,78,100,20.09,overcast clouds
105,Sao Felix Do Xingu,BR,-6.6447,-51.995,88.97,58,31,4.36,scattered clouds
106,Yoichi,JP,43.2039,140.7703,39.0,41,100,15.86,overcast clouds
107,Graaff-Reinet,ZA,-32.2522,24.5308,69.01,50,0,4.0,clear sky
108,Camacha,PT,33.0833,-16.3333,64.4,63,20,3.44,few clouds
109,Egvekinot,RU,66.3167,-179.1667,-11.67,82,42,3.33,scattered clouds
110,Cap Malheureux,MU,-19.9842,57.6142,81.0,75,4,5.99,clear sky
111,Malanje,AO,-9.5402,16.341,65.16,89,24,1.3,few clouds
112,Tuatapere,NZ,-46.1333,167.6833,55.99,71,92,8.99,overcast clouds
113,Raga,SS,8.4596,25.678,81.99,16,87,3.2,overcast clouds
114,Rawson,AR,-43.3002,-65.1023,86.38,25,26,19.82,scattered clouds
115,Bowen,AU,-20.0167,148.2333,73.4,94,90,14.9,light rain
116,Kargasok,RU,59.0556,80.8572,30.92,85,100,9.06,overcast clouds
117,Labelle,US,26.7617,-81.4384,80.01,41,75,10.36,broken clouds
118,Pisco,PE,-13.7,-76.2167,82.4,54,0,14.97,clear sky
119,Teguise,ES,29.0605,-13.564,68.0,56,20,13.8,few clouds
120,Vanimo,PG,-2.6741,141.3028,78.28,88,97,5.01,overcast clouds
121,Makat,KZ,47.6469,53.3463,49.41,75,58,8.97,broken clouds
122,Karratha,AU,-20.7377,116.8463,82.2,47,1,6.89,clear sky
123,Longyearbyen,SJ,78.2186,15.6401,26.6,59,75,27.63,broken clouds
124,New Norfolk,AU,-42.7826,147.0587,53.01,68,44,3.22,scattered clouds
125,Sarkand,KZ,45.41,79.9186,40.42,43,92,9.57,overcast clouds
126,Mataura,NZ,-46.1927,168.8643,55.99,71,100,8.99,overcast clouds
127,Srednekolymsk,RU,67.45,153.6833,-16.8,100,87,6.02,overcast clouds
128,Bengkulu,ID,-3.8004,102.2655,77.49,80,100,9.33,overcast clouds
129,San Patricio,US,28.017,-97.5169,79.0,57,40,13.8,scattered clouds
130,Carnarvon,AU,-24.8667,113.6333,77.0,83,7,16.11,clear sky
131,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.22,73,19,9.44,few clouds
132,Vagur,FO,61.4732,-6.8119,25.56,63,100,42.86,light snow
133,Blue Springs,US,39.0169,-94.2816,77.0,44,1,18.41,clear sky
134,Puerto Colombia,CO,10.9878,-74.9547,84.2,65,20,18.41,few clouds
135,Severo-Kurilsk,RU,50.6789,156.125,27.88,83,93,14.18,overcast clouds
136,Kruisfontein,ZA,-34.0033,24.7314,64.0,84,93,1.01,overcast clouds
137,Mamit,IN,23.9333,92.4833,64.96,28,79,3.53,broken clouds
138,Wielun,PL,51.221,18.5696,37.99,74,8,8.63,clear sky
139,Baixa Grande,BR,-11.9597,-40.1681,94.66,23,5,9.4,clear sky
140,Kanashevo,RU,55.2169,62.0634,30.2,100,40,4.85,mist
141,Mecca,SA,21.4267,39.8261,78.91,32,100,7.14,overcast clouds
142,Makakilo City,US,21.3469,-158.0858,75.2,64,1,10.36,clear sky
143,Lebu,CL,-37.6167,-73.65,60.71,69,35,12.28,scattered clouds
144,Danshui,CN,22.7984,114.4672,75.99,73,100,4.63,overcast clouds
145,Mitsamiouli,KM,-11.3847,43.2844,82.53,75,92,5.82,light rain
146,Luderitz,NA,-26.6481,15.1594,70.27,68,0,18.12,clear sky
147,Vestmanna,FO,62.1564,-7.1664,23.0,68,75,40.29,light snow
148,Narsaq,GL,60.9167,-46.05,41.0,81,75,3.44,broken clouds
149,Russell,US,32.3502,-85.1999,71.6,23,1,5.48,clear sky
150,Saint-Philippe,RE,-21.3585,55.7679,78.8,73,0,5.75,clear sky
151,Kampot,KH,10.6167,104.1833,78.8,94,75,3.94,broken clouds
152,Saint George,US,37.1041,-113.5841,82.99,12,7,2.28,clear sky
153,Bud,US,39.447,-86.1758,71.01,35,1,6.46,clear sky
154,Pucallpa,PE,-8.3791,-74.5539,86.0,70,75,6.91,broken clouds
155,Tiksi,RU,71.6872,128.8694,-19.82,100,100,4.81,overcast clouds
156,Eirunepe,BR,-6.6603,-69.8736,83.64,75,65,2.19,broken clouds
157,Bubaque,GW,11.2833,-15.8333,75.69,74,10,15.41,clear sky
158,Ronda,ES,36.7423,-5.1671,57.99,68,15,2.84,light rain
159,Provideniya,RU,64.3833,-173.3,1.4,66,0,4.47,clear sky
160,Reconquista,AR,-29.15,-59.65,86.27,36,0,1.28,clear sky
161,San Quintin,MX,30.4833,-115.95,67.84,60,5,16.37,clear sky
162,Broken Hill,AU,-31.95,141.4333,62.6,48,0,5.75,clear sky
163,Kisangani,CD,0.5167,25.2,75.97,79,100,4.54,overcast clouds
164,Sao Filipe,CV,14.8961,-24.4956,75.33,69,30,6.91,scattered clouds
165,Dunedin,NZ,-45.8742,170.5036,55.0,73,2,3.0,clear sky
166,Chateau-Thierry,FR,49.05,3.4,43.0,86,5,3.91,clear sky
167,Ilulissat,GL,69.2167,-51.1,21.2,68,75,13.8,broken clouds
168,Mounana,GA,-1.4085,13.1586,78.8,83,75,2.3,broken clouds
169,Pangnirtung,CA,66.1451,-65.7125,12.2,62,20,2.3,few clouds
170,Cabo San Lucas,MX,22.8909,-109.9124,91.4,18,1,14.97,clear sky
171,Nanortalik,GL,60.1432,-45.2371,37.35,83,13,7.94,few clouds
172,Avarua,CK,-21.2078,-159.775,82.4,78,75,17.27,light rain
173,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,88.95,54,87,0.45,overcast clouds
174,East London,ZA,-33.0153,27.9116,66.2,63,0,5.75,clear sky
175,Faya,SA,18.3851,42.4509,68.0,45,0,5.75,clear sky
176,Fortuna,US,40.5982,-124.1573,54.0,87,90,9.22,overcast clouds
177,Norman Wells,CA,65.282,-126.8329,17.6,57,75,13.8,broken clouds
178,Vardo,NO,70.3705,31.1107,35.6,87,75,23.02,broken clouds
179,Matara,LK,5.9485,80.5353,75.78,87,100,6.82,overcast clouds
180,Tulnici,RO,45.9167,26.6667,39.2,75,20,5.75,few clouds
181,Sibolga,ID,1.7427,98.7792,76.55,90,42,2.57,scattered clouds
182,Tautira,PF,-17.7333,-149.15,80.6,74,40,6.91,scattered clouds
183,Billings,US,45.7833,-108.5007,75.0,14,20,9.22,few clouds
184,Nouakchott,MR,18.0858,-15.9785,82.4,44,94,16.11,overcast clouds
185,Menomonie,US,44.8755,-91.9193,75.0,17,1,12.66,clear sky
186,Pacific Grove,US,36.6177,-121.9166,57.99,58,1,12.66,clear sky
187,Tromso,NO,69.6496,18.957,30.2,80,75,3.44,broken clouds
188,Oranjemund,NA,-28.55,16.4333,62.89,96,35,8.21,scattered clouds
189,Campiglia Marittima,IT,43.0602,10.6152,55.0,27,0,12.01,clear sky
190,Ponta Do Sol,PT,32.6667,-17.1,61.0,62,90,1.99,overcast clouds
191,Shingu,JP,33.7333,135.9833,60.73,94,100,5.17,overcast clouds
192,Geraldton,AU,-28.7667,114.6,73.4,83,75,11.5,light rain
193,Rocha,UY,-34.4833,-54.3333,74.01,70,72,10.83,broken clouds
194,Luanda,AO,-8.8368,13.2343,78.8,83,20,8.05,few clouds
195,Tarko-Sale,RU,64.9225,77.785,32.4,93,100,13.47,overcast clouds
196,Port-Cartier,CA,50.0334,-66.8654,37.0,69,90,8.05,light snow
197,Adrar,MR,20.5022,-10.0711,89.2,13,100,9.22,overcast clouds
198,Batagay-Alyta,RU,67.8006,130.4114,-17.23,98,100,4.14,overcast clouds
199,Berlevag,NO,70.8578,29.0864,35.26,90,100,9.01,light snow
200,Lakshettipet,IN,18.8667,79.2167,89.33,26,0,2.82,clear sky
201,Atar,MR,20.5169,-13.0499,100.4,19,96,6.91,overcast clouds
202,Borogontsy,RU,62.6683,131.1683,-25.1,100,96,1.34,overcast clouds
203,Kasongo-Lunda,CD,-6.4667,16.8167,71.85,97,92,2.51,moderate rain
204,Aswan,EG,24.0934,32.907,73.54,10,0,10.69,clear sky
205,Meulaboh,ID,4.1363,96.1285,76.66,89,100,2.42,overcast clouds
206,Lieksa,FI,63.3167,30.0167,36.07,85,69,13.31,broken clouds
207,Chabahar,IR,25.2919,60.643,80.38,69,0,10.92,clear sky
208,Cedar City,US,37.6775,-113.0619,73.4,6,1,12.66,clear sky
209,Galbshtadt,RU,53.2264,78.9845,22.96,94,100,10.2,overcast clouds
210,Nishihara,JP,26.1842,127.7558,66.2,68,75,18.41,broken clouds
211,Kodiak,US,57.79,-152.4072,42.8,70,1,4.61,clear sky
212,Porto-Vecchio,FR,41.591,9.2795,57.2,76,75,5.75,broken clouds
213,Petropavlovskoye,RU,52.0712,84.107,28.45,88,10,4.92,clear sky
214,Amazar,RU,53.858,120.875,25.83,93,99,2.28,overcast clouds
215,Atambua,ID,-9.1061,124.8925,72.43,93,100,10.27,overcast clouds
216,Consolacion Del Sur,CU,22.5047,-83.5136,81.73,35,37,14.7,scattered clouds
217,Nyurba,RU,63.2842,118.3319,-14.94,99,100,2.95,overcast clouds
218,Lagoa,PT,39.05,-27.9833,59.79,83,100,17.96,overcast clouds
219,General Roca,AR,-39.0333,-67.5833,86.0,39,20,6.91,few clouds
220,Charters Towers,AU,-20.1,146.2667,69.82,94,100,10.49,overcast clouds
221,Havre-Saint-Pierre,CA,50.2334,-63.5986,39.2,100,90,12.66,overcast clouds
222,Manggar,ID,-2.8833,108.2667,79.68,82,100,5.17,overcast clouds
223,Vasilyevskiy Mokh,RU,57.0132,35.919,30.69,88,100,5.55,overcast clouds
224,Goderich,CA,43.7501,-81.7165,42.8,75,15,8.05,few clouds
225,Kupang,ID,-10.1667,123.5833,77.92,94,100,16.44,heavy intensity rain
226,Seguela,CI,7.9611,-6.6731,86.76,42,5,5.73,clear sky
227,Saskylakh,RU,71.9167,114.0833,-26.81,100,25,3.27,scattered clouds
228,Mildura,AU,-34.2,142.15,62.6,63,0,8.05,clear sky
229,Belem De Sao Francisco,BR,-8.7539,-38.9658,95.99,24,53,13.27,broken clouds
230,Channel-Port Aux Basques,CA,47.5702,-59.1367,40.86,97,100,30.53,overcast clouds
231,Farafangana,MG,-22.8167,47.8333,76.24,91,1,11.01,moderate rain
232,Zhigansk,RU,66.7697,123.3711,-26.05,100,48,5.44,scattered clouds
233,Zhenlai,CN,45.8495,123.2973,43.54,32,0,9.13,clear sky
234,Yarada,IN,17.65,83.2667,80.91,82,18,4.23,few clouds
235,Nalut,LY,30.3333,10.85,80.46,15,93,3.67,overcast clouds
236,Puerto Del Rosario,ES,28.5004,-13.8627,66.2,63,20,12.66,few clouds
237,Novoomskiy,RU,54.8415,73.3017,37.4,65,0,13.42,clear sky
238,Natchitoches,US,31.7668,-93.1335,71.6,46,90,4.61,overcast clouds
239,Gouvieux,FR,49.1871,2.4144,48.2,66,0,6.91,clear sky
240,Arinos,BR,-15.9169,-46.1056,81.37,67,100,5.64,light rain
241,Tura,IN,25.5198,90.2201,71.98,35,100,2.51,overcast clouds
242,Khor,RU,47.8861,134.9464,32.76,53,98,6.96,overcast clouds
243,Bathsheba,BB,13.2167,-59.5167,82.4,57,40,14.97,scattered clouds
244,Yulara,AU,-25.2406,130.9889,64.4,45,0,6.91,clear sky
245,Guerrero Negro,MX,27.9769,-114.0611,70.09,56,0,14.34,clear sky
246,Mayumba,GA,-3.432,10.6554,79.86,88,99,8.61,overcast clouds
247,Karacabey,TR,40.2152,28.4038,50.0,87,75,13.8,broken clouds
248,Bethel,US,41.3712,-73.414,60.01,25,1,6.91,clear sky
249,Jelling,DK,55.7559,9.4258,43.0,81,75,18.41,broken clouds
250,Nieuw Amsterdam,SR,5.8833,-55.0833,84.2,70,40,9.22,scattered clouds
251,Dzaoudzi,YT,-12.7887,45.2699,84.2,79,20,9.22,few clouds
252,Maraa,BR,-1.8333,-65.3667,85.37,75,59,3.2,broken clouds
253,Santa Maria,BR,-29.6842,-53.8069,86.0,51,20,11.5,few clouds
254,Madang,PG,-5.2246,145.7966,75.61,87,100,2.77,overcast clouds
255,Sompeta,IN,18.9333,84.6,78.37,89,0,7.74,clear sky
256,Borba,BR,-4.3878,-59.5939,85.75,67,100,1.07,overcast clouds
257,College,US,64.8569,-147.8028,33.8,86,90,5.75,snow
258,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,94,40,12.66,scattered clouds
259,Laguna,US,38.421,-121.4238,64.0,51,1,4.61,clear sky
260,Henties Bay,NA,-22.116,14.2845,68.72,70,5,8.1,clear sky
261,San Cristobal,VE,7.7669,-72.225,84.2,70,40,9.22,scattered clouds
262,Kavaratti,IN,10.5669,72.642,82.36,69,64,13.56,broken clouds
263,Dikson,RU,73.5069,80.5464,8.38,92,100,8.43,light snow
264,Kahului,US,20.8947,-156.47,73.4,94,40,18.41,light rain
265,Purranque,CL,-40.9167,-73.1667,71.6,46,0,6.91,clear sky
266,Stromness,GB,58.965,-3.296,32.0,86,75,35.68,light snow
267,Ust-Kan,RU,50.9276,84.761,30.06,53,0,3.87,clear sky
268,Northam,GB,51.0333,-4.2167,45.0,89,29,5.01,scattered clouds
