City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Barcelos,PT,2021-03-31 17:09:23,41.5388,-8.6151,81.0,31,0,6.91
67,Vila Velha,BR,2021-03-31 17:13:35,-20.3297,-40.2925,80.6,89,75,9.22
68,Tabou,CI,2021-03-31 17:13:35,4.423,-7.3528,82.92,73,41,10.27
69,East London,ZA,2021-03-31 17:13:35,-33.0153,27.9116,64.4,82,20,10.36
70,Abnub,EG,2021-03-31 17:13:36,27.2696,31.1511,66.2,37,0,11.5
71,Matara,LK,2021-03-31 17:13:36,5.9485,80.5353,78.89,88,96,6.22
72,Saint-Pierre,RE,2021-03-31 17:13:36,-21.3393,55.4781,80.6,74,15,4.61
73,Bakreswar,IN,2021-03-31 17:13:36,23.8833,87.3667,82.4,57,0,3.44
74,Lavumisa,SZ,2021-03-31 17:13:36,-27.31,31.892,72.64,70,0,2.39
75,Ust-Kut,RU,2021-03-31 17:13:37,56.7938,105.7672,26.17,85,75,10.36
76,Beira,MZ,2021-03-31 17:13:37,-19.8436,34.8389,77.0,69,40,6.91
77,Faya,SA,2021-03-31 17:09:37,18.3851,42.4509,69.8,40,20,6.91
78,Zakamensk,RU,2021-03-31 17:13:37,50.3741,103.2863,29.55,90,100,2.51
79,Qaanaaq,GL,2021-03-31 17:13:38,77.484,-69.3632,10.17,92,100,18.75
80,Manjacaze,MZ,2021-03-31 17:13:38,-24.7117,33.8828,73.92,53,27,3.94
81,Kapaa,US,2021-03-31 17:11:37,22.0752,-159.319,75.2,73,75,8.05
82,Muros,ES,2021-03-31 17:13:38,42.7762,-9.0603,78.8,24,20,10.36
83,Longyearbyen,SJ,2021-03-31 17:13:38,78.2186,15.6401,28.4,64,75,6.91
84,Dikson,RU,2021-03-31 17:13:39,73.5069,80.5464,-24.21,93,38,5.23
85,Odweyne,SO,2021-03-31 17:13:39,9.4092,45.064,77.07,36,100,12.01
86,Sisimiut,GL,2021-03-31 17:13:39,66.9395,-53.6735,21.61,68,99,15.26
87,Port Alfred,ZA,2021-03-31 17:13:39,-33.5906,26.891,67.03,86,26,10.87
88,Nanortalik,GL,2021-03-31 17:13:40,60.1432,-45.2371,31.95,92,92,7.99
89,Torbay,CA,2021-03-31 17:13:40,47.6666,-52.7314,34.0,69,40,14.97
90,Avarua,CK,2021-03-31 17:13:40,-21.2078,-159.775,77.0,83,20,4.61
91,Bengkulu,ID,2021-03-31 17:09:01,-3.8004,102.2655,77.27,78,99,17.56
92,Ixtapa,MX,2021-03-31 17:13:40,20.7,-105.2,77.0,53,20,5.75
93,Hasaki,JP,2021-03-31 17:13:40,35.7333,140.8333,57.2,77,75,1.14
94,Pacific Grove,US,2021-03-31 17:08:48,36.6177,-121.9166,71.6,33,1,3.44
95,Ayorou,NE,2021-03-31 17:13:41,14.7308,0.9174,97.9,6,0,10.89
96,Ponta Do Sol,PT,2021-03-31 17:13:41,32.6667,-17.1,60.01,73,65,3.0
97,Carnarvon,AU,2021-03-31 17:13:41,-24.8667,113.6333,78.8,83,0,9.22
98,Thompson,CA,2021-03-31 17:13:42,55.7435,-97.8558,12.2,44,20,9.22
99,Paamiut,GL,2021-03-31 17:13:42,61.994,-49.6678,28.22,76,98,10.13
100,Makakilo City,US,2021-03-31 17:10:10,21.3469,-158.0858,71.6,78,1,4.61
101,Upernavik,GL,2021-03-31 17:12:27,72.7868,-56.1549,0.82,68,66,20.18
102,Mahibadhoo,MV,2021-03-31 17:13:42,3.7833,72.9667,83.59,76,86,13.33
103,Port Hardy,CA,2021-03-31 17:13:42,50.6996,-127.4199,42.8,93,75,7.92
104,Sosnovka,RU,2021-03-31 17:13:43,56.255,51.2842,33.15,96,100,15.68
105,Morro Da Fumaca,BR,2021-03-31 17:13:43,-28.6508,-49.21,72.0,62,6,13.62
106,Santa Fe,AR,2021-03-31 17:13:43,-31.6333,-60.7,81.0,38,0,4.0
107,Trairi,BR,2021-03-31 17:13:43,-3.2778,-39.2689,83.23,75,100,9.57
108,Kruisfontein,ZA,2021-03-31 17:13:44,-34.0033,24.7314,66.99,80,82,4.0
109,Roald,NO,2021-03-31 17:13:44,62.5833,6.1333,43.0,70,0,6.91
110,Talaya,RU,2021-03-31 17:13:44,61.3833,152.75,11.14,96,100,3.44
111,Cape Town,ZA,2021-03-31 17:12:38,-33.9258,18.4232,68.0,88,75,4.61
112,San Cristobal,VE,2021-03-31 17:13:44,7.7669,-72.225,80.6,78,75,5.75
113,Santa Maria Del Oro,MX,2021-03-31 17:13:45,25.9333,-105.3667,74.89,8,38,8.63
114,Aripuana,BR,2021-03-31 17:13:45,-9.1667,-60.6333,76.41,90,99,4.68
115,Richards Bay,ZA,2021-03-31 17:13:45,-28.783,32.0377,73.78,85,0,6.44
116,Bhinmal,IN,2021-03-31 17:13:45,25.0,72.25,79.75,11,1,5.68
117,Zhigansk,RU,2021-03-31 17:11:26,66.7697,123.3711,13.44,91,100,8.16
118,Sambava,MG,2021-03-31 17:13:46,-14.2667,50.1667,79.38,84,43,8.97
119,Lansdale,US,2021-03-31 17:09:57,40.2415,-75.2838,64.99,77,90,9.22
120,Saint-Tite,CA,2021-03-31 17:13:46,46.7334,-72.5658,55.4,58,100,5.75
121,Shahr-E Babak,IR,2021-03-31 17:13:46,30.1165,55.1186,66.18,14,0,9.62
122,Chuy,UY,2021-03-31 17:13:46,-33.6971,-53.4616,71.56,55,26,11.41
123,Georgetown,MY,2021-03-31 17:13:47,5.4112,100.3354,82.4,83,20,3.85
124,Clyde River,CA,2021-03-31 17:13:47,70.4692,-68.5914,-4.0,50,75,3.44
125,Fort Nelson,CA,2021-03-31 17:11:36,58.8053,-122.7002,28.4,86,75,4.61
126,Christchurch,NZ,2021-03-31 17:11:34,-43.5333,172.6333,55.99,76,75,10.36
127,Tarakan,ID,2021-03-31 17:13:47,3.3,117.6333,77.9,84,93,5.79
128,Ilulissat,GL,2021-03-31 17:13:47,69.2167,-51.1,19.4,58,40,13.8
129,Jiexiu,CN,2021-03-31 17:13:48,37.0244,111.9125,51.78,68,87,3.11
130,Puerto Ayora,EC,2021-03-31 17:12:28,-0.7393,-90.3518,80.6,78,40,11.5
131,Hwange,ZW,2021-03-31 17:13:48,-18.3693,26.5019,69.82,62,31,4.43
132,Loukhi,RU,2021-03-31 17:13:48,66.0764,33.0381,34.9,84,93,13.2
133,Antofagasta,CL,2021-03-31 17:11:28,-23.65,-70.4,71.01,68,75,12.66
134,Lompoc,US,2021-03-31 17:13:48,34.6391,-120.4579,72.0,34,0,5.75
135,Hayrabolu,TR,2021-03-31 17:13:49,41.2131,27.1069,41.0,81,75,14.97
136,Kalachinsk,RU,2021-03-31 17:13:49,55.0529,74.5751,14.13,95,100,8.93
137,Ternate,ID,2021-03-31 17:13:49,0.8,127.4,81.41,81,87,6.6
138,Kavieng,PG,2021-03-31 17:09:51,-2.5744,150.7967,81.21,76,99,4.97
139,Hobart,AU,2021-03-31 17:11:53,-42.8794,147.3294,66.2,59,75,8.05
140,Pisco,PE,2021-03-31 17:13:49,-13.7,-76.2167,73.4,68,0,10.36
141,Telenesti,MD,2021-03-31 17:13:50,47.4997,28.3656,55.4,44,0,3.44
142,Yarmouth,US,2021-03-31 17:13:50,41.7057,-70.2286,59.0,71,1,14.97
143,Andros,GR,2021-03-31 17:13:50,37.8333,24.9333,54.0,64,99,18.99
144,Arraial Do Cabo,BR,2021-03-31 17:13:50,-22.9661,-42.0278,82.4,65,0,14.97
145,Staraya Poltavka,RU,2021-03-31 17:13:51,50.4772,46.4814,41.0,56,10,8.88
146,Saldanha,ZA,2021-03-31 17:13:51,-33.0117,17.9442,68.0,60,80,14.97
147,Neustadt,DE,2021-03-31 17:13:51,49.7117,12.0872,68.0,54,99,3.15
148,Port Shepstone,ZA,2021-03-31 17:13:51,-30.7414,30.455,73.33,82,73,11.65
149,Haverfordwest,GB,2021-03-31 17:13:52,51.8017,-4.9691,57.0,83,21,3.0
150,Yumen,CN,2021-03-31 17:13:52,40.2833,97.2,44.94,51,100,16.96
151,Asau,RO,2021-03-31 17:13:52,46.4333,26.4,55.4,35,75,3.44
152,Dunmore Town,BS,2021-03-31 17:11:13,25.5,-76.65,76.55,70,1,16.42
153,Kodiak,US,2021-03-31 17:13:52,57.79,-152.4072,28.4,59,75,9.22
154,Locri,IT,2021-03-31 17:13:53,38.2414,16.2623,62.6,48,83,12.66
155,Leiyang,CN,2021-03-31 17:10:11,26.4024,112.8591,67.15,95,93,6.67
156,Lagoa,PT,2021-03-31 17:13:53,39.05,-27.9833,58.39,79,91,9.66
157,Mana,GF,2021-03-31 17:13:53,5.6592,-53.7767,83.46,64,81,11.45
158,Esperance,AU,2021-03-31 17:13:53,-33.8667,121.9,64.4,88,39,11.5
159,Provideniya,RU,2021-03-31 17:13:54,64.3833,-173.3,-3.96,86,10,5.03
160,Bathsheba,BB,2021-03-31 17:13:54,13.2167,-59.5167,84.2,51,40,24.16
161,Castro,BR,2021-03-31 17:13:54,-24.7911,-50.0119,70.16,52,0,7.0
162,Margate,GB,2021-03-31 17:13:54,51.3813,1.3862,66.0,62,91,7.14
163,Bethel,US,2021-03-31 17:09:13,41.3712,-73.414,59.0,81,100,1.99
164,Fortuna,US,2021-03-31 17:13:55,40.5982,-124.1573,63.0,62,1,6.91
165,Karratha,AU,2021-03-31 17:13:55,-20.7377,116.8463,81.95,49,2,4.72
166,Luderitz,NA,2021-03-31 17:13:55,-26.6481,15.1594,69.53,58,0,17.02
167,Ossora,RU,2021-03-31 17:13:55,59.2353,163.0719,16.86,94,100,2.39
168,Maku,IR,2021-03-31 17:13:56,39.2911,44.4521,47.05,63,53,2.1
169,Vao,NC,2021-03-31 17:13:56,-22.6667,167.4833,76.1,76,100,17.9
170,Vardo,NO,2021-03-31 17:13:56,70.3705,31.1107,33.8,93,75,23.02
171,Naze,JP,2021-03-31 17:13:56,28.3667,129.4833,65.88,78,100,10.18
172,Fairlie,GB,2021-03-31 17:13:57,55.756,-4.8556,46.99,83,100,4.0
173,Galle,LK,2021-03-31 17:13:57,6.0367,80.217,80.04,84,98,6.69
174,Isangel,VU,2021-03-31 17:13:57,-19.55,169.2667,77.65,90,100,10.0
175,Port Augusta,AU,2021-03-31 17:13:57,-32.5,137.7667,57.2,77,0,5.75
176,Ostrovnoy,RU,2021-03-31 17:13:58,68.0531,39.5131,25.61,96,97,4.43
177,Rosarito,MX,2021-03-31 17:13:58,32.3333,-117.0333,80.6,8,1,17.27
178,Levanger,NO,2021-03-31 17:13:58,63.7464,11.2996,41.0,81,75,21.85
179,Zaysan,KZ,2021-03-31 17:10:04,47.4667,84.8667,26.11,86,96,2.64
180,Cherskiy,RU,2021-03-31 17:13:58,68.75,161.3,-3.91,89,100,3.38
181,Chokurdakh,RU,2021-03-31 17:09:39,70.6333,147.9167,-16.78,100,76,4.27
182,Okhotsk,RU,2021-03-31 17:13:59,59.3833,143.3,10.42,85,25,9.98
183,Bagdarin,RU,2021-03-31 17:13:59,54.4333,113.6,9.12,90,3,3.78
184,Dhanera,IN,2021-03-31 17:13:59,24.5167,72.0167,80.53,21,0,7.67
185,Severo-Kurilsk,RU,2021-03-31 17:13:59,50.6789,156.125,35.01,98,100,14.7
186,Altar,MX,2021-03-31 17:13:59,30.7,-111.8167,73.99,22,49,3.0
187,San-Pedro,CI,2021-03-31 17:14:00,4.7485,-6.6363,83.17,72,36,9.08
188,Lazaro Cardenas,MX,2021-03-31 17:10:22,17.9583,-102.2,85.28,45,95,5.97
189,Necochea,AR,2021-03-31 17:12:25,-38.5473,-58.7368,73.0,45,28,7.0
190,Tornio,FI,2021-03-31 17:14:00,65.8481,24.1466,42.8,49,0,8.05
191,Bara,NG,2021-03-31 17:14:00,10.3744,10.7288,92.79,10,90,8.23
192,Coihueco,CL,2021-03-31 17:14:01,-36.6167,-71.8333,66.2,63,0,5.75
193,Laguna,US,2021-03-31 17:14:01,38.421,-121.4238,64.0,25,1,5.75
194,Alice Springs,AU,2021-03-31 17:14:01,-23.7,133.8833,55.4,71,0,1.14
195,Lorengau,PG,2021-03-31 17:14:01,-2.0226,147.2712,80.17,79,100,3.11
196,Lithakia,GR,2021-03-31 17:11:21,37.7167,20.8333,59.0,58,20,3.44
197,Caibarien,CU,2021-03-31 17:14:01,22.5206,-79.4669,86.0,51,75,9.22
198,Pilar,BR,2021-03-31 17:14:02,-9.5972,-35.9567,89.6,62,40,10.36
199,Hambantota,LK,2021-03-31 17:14:02,6.1241,81.1185,81.77,80,97,12.95
200,Whitecourt,CA,2021-03-31 17:14:02,54.1502,-115.6855,44.6,39,90,9.22
201,Leh,IN,2021-03-31 17:14:02,34.1667,77.5833,31.86,40,84,5.88
202,Nhulunbuy,AU,2021-03-31 17:14:03,-12.2333,136.7667,82.4,74,40,12.66
203,Tayu,ID,2021-03-31 17:09:08,-6.5397,111.0518,77.49,88,100,3.27
204,Arlit,NE,2021-03-31 17:14:03,18.7369,7.3853,88.72,5,1,2.01
205,Ancud,CL,2021-03-31 17:14:03,-41.8697,-73.8203,64.99,77,75,6.91
206,Spring Hill,US,2021-03-31 17:10:32,28.4769,-82.5255,87.01,54,20,8.05
207,Baft,IR,2021-03-31 17:14:04,29.234,56.6057,61.11,17,0,8.72
208,Puerto Baquerizo Moreno,EC,2021-03-31 17:14:04,-0.9,-89.6,80.6,78,40,4.61
209,Minna,NG,2021-03-31 17:14:04,9.6139,6.5569,100.4,12,94,4.61
210,Matagami,CA,2021-03-31 17:14:04,49.7502,-77.6328,24.8,80,90,17.27
211,Portland,US,2021-03-31 17:11:24,45.5234,-122.6762,51.01,70,20,4.61
212,Myanaung,MM,2021-03-31 17:14:05,18.2833,95.3167,80.67,50,5,5.77
213,Sangre Grande,TT,2021-03-31 17:14:05,10.5835,-61.1177,87.8,55,75,17.27
214,Tarnow,PL,2021-03-31 17:14:05,50.0138,20.987,62.01,58,86,1.23
215,Leningradskiy,RU,2021-03-31 17:14:05,69.3833,178.4167,-21.01,93,13,5.37
216,Paita,PE,2021-03-31 17:14:06,-5.0892,-81.1144,89.6,45,20,11.5
217,Athabasca,CA,2021-03-31 17:14:06,54.7169,-113.2854,41.0,65,100,8.05
218,Pekan,MY,2021-03-31 17:14:06,3.4836,103.3996,80.6,89,20,3.65
219,La Ronge,CA,2021-03-31 17:14:06,55.1001,-105.2842,24.8,58,92,6.91
220,Sosnovo,RU,2021-03-31 17:14:06,60.5514,30.2144,39.99,81,74,6.29
221,Palu,ID,2021-03-31 17:14:07,-0.8917,119.8707,76.05,95,99,2.24
222,Severnoye,RU,2021-03-31 17:14:07,56.3491,78.3619,24.87,94,100,10.65
223,Puerto Del Rosario,ES,2021-03-31 17:14:07,28.5004,-13.8627,75.2,53,20,16.11
224,Tabat,ID,2021-03-31 17:14:07,-2.635,115.2274,73.76,96,100,0.72
225,Dinard,FR,2021-03-31 17:14:08,48.6314,-2.0614,70.0,56,0,6.91
226,Thohoyandou,ZA,2021-03-31 17:14:08,-22.9456,30.485,70.66,55,90,2.8
227,Balkanabat,TM,2021-03-31 17:09:11,39.5108,54.3671,59.52,33,97,12.17
228,Youghal,IE,2021-03-31 17:14:08,51.95,-7.8506,57.0,71,40,9.22
229,Leshukonskoye,RU,2021-03-31 17:14:08,64.8989,45.7622,31.82,90,100,8.68
230,Ulladulla,AU,2021-03-31 17:14:09,-35.35,150.4667,59.0,88,56,9.22
231,Teya,RU,2021-03-31 17:14:09,60.3778,92.6267,-6.59,99,91,2.55
232,La Paz,BO,2021-03-31 17:14:09,-16.5,-68.15,57.2,54,75,10.36
233,Herne,DE,2021-03-31 17:12:08,51.55,7.2167,75.0,27,9,1.99
234,Labuhan,ID,2021-03-31 17:10:11,-6.8844,112.2051,77.65,92,100,6.29
235,Bredasdorp,ZA,2021-03-31 17:14:09,-34.5322,20.0403,64.4,72,98,10.36
236,Victoria,HK,2021-03-31 17:12:05,22.2855,114.1577,79.0,84,72,1.01
237,Tura,IN,2021-03-31 17:14:10,25.5198,90.2201,70.52,89,1,6.67
238,Marienburg,PL,2021-03-31 17:14:10,54.0359,19.0266,54.0,100,1,4.16
239,Pitimbu,BR,2021-03-31 17:14:10,-7.4706,-34.8086,86.0,70,40,9.22
240,Yarada,IN,2021-03-31 17:14:10,17.65,83.2667,84.2,94,90,9.22
241,Ahipara,NZ,2021-03-31 17:14:11,-35.1667,173.1667,60.73,89,24,8.03
242,Bud,US,2021-03-31 17:14:11,39.447,-86.1758,48.0,46,17,14.74
243,Yeppoon,AU,2021-03-31 17:14:11,-23.1333,150.7333,68.0,73,32,9.22
244,Poronaysk,RU,2021-03-31 17:14:11,49.2167,143.1167,28.13,96,98,1.39
245,Miri,MY,2021-03-31 17:13:01,4.4148,114.0089,77.0,94,40,2.3
246,Qiongshan,CN,2021-03-31 17:14:12,20.0058,110.3542,78.8,78,0,11.18
247,Chitipa,MW,2021-03-31 17:14:12,-9.7024,33.2697,62.22,97,30,4.38
248,Kirakira,SB,2021-03-31 17:14:12,-10.4544,161.9205,79.81,82,100,4.88
249,Manadhoo,MV,2021-03-31 17:14:12,5.7667,73.3833,83.82,71,57,8.1
250,Geraldton,AU,2021-03-31 17:14:13,-28.7667,114.6,69.8,88,41,8.05
251,Port Lincoln,AU,2021-03-31 17:14:13,-34.7333,135.8667,67.14,66,54,7.29
252,Waingapu,ID,2021-03-31 17:14:02,-9.6567,120.2641,77.25,88,97,7.36
253,Cidreira,BR,2021-03-31 17:11:13,-30.1811,-50.2056,73.76,56,7,14.81
254,Coquimbo,CL,2021-03-31 17:14:13,-29.9533,-71.3436,64.4,68,20,13.8
255,Porto Novo,BJ,2021-03-31 17:14:13,6.4965,2.6036,87.8,70,20,13.8
256,Shahpura,IN,2021-03-31 17:14:14,27.3833,75.9667,84.2,10,0,5.75
257,Nanakuli,US,2021-03-31 17:14:14,21.3906,-158.1547,71.01,78,1,4.61
258,Jining,CN,2021-03-31 17:14:14,35.405,116.5814,53.83,35,100,2.57
259,Mount Gambier,AU,2021-03-31 17:14:14,-37.8333,140.7667,60.8,63,80,8.05
260,Dinguiraye,GN,2021-03-31 17:14:15,11.3,-10.7167,100.8,10,57,4.16
261,Iqaluit,CA,2021-03-31 17:14:15,63.7506,-68.5145,-2.2,71,90,16.11
262,Kokstad,ZA,2021-03-31 17:14:15,-30.5472,29.4241,64.45,58,97,4.54
263,Lavrentiya,RU,2021-03-31 17:14:15,65.5833,-171.0,-12.17,87,4,6.78
264,Grand Gaube,MU,2021-03-31 17:14:16,-20.0064,57.6608,78.01,86,15,3.0
265,Tezu,IN,2021-03-31 17:14:16,27.9167,96.1667,67.75,65,86,4.92
266,Nizhniy Baskunchak,RU,2021-03-31 17:14:16,48.2198,46.8311,43.05,47,0,8.41
267,Milkovo,RU,2021-03-31 17:14:16,54.7167,158.6167,28.29,87,100,2.91
268,Ahuimanu,US,2021-03-31 17:14:16,21.4447,-157.8378,71.6,78,75,4.61
269,Lasa,IT,2021-03-31 17:14:17,46.6166,10.7002,75.2,43,0,3.44
270,Pittsfield,US,2021-03-31 17:12:14,42.4501,-73.2454,55.0,94,90,13.8
271,Ketchikan,US,2021-03-31 17:14:17,55.3422,-131.6461,37.4,93,90,19.57
272,Nacala,MZ,2021-03-31 17:14:17,-14.5428,40.6728,75.92,68,5,9.33
273,Adand,HU,2021-03-31 17:14:17,46.8593,18.1644,61.32,63,0,3.13
274,Montego Bay,JM,2021-03-31 17:14:18,18.4712,-77.9188,82.4,74,40,19.57
275,Mwene-Ditu,CD,2021-03-31 17:14:18,-7.0,23.45,67.64,95,41,3.33
276,Juquitiba,BR,2021-03-31 17:14:18,-23.9317,-47.0683,73.99,56,75,12.66
277,Porbandar,IN,2021-03-31 17:14:18,21.6422,69.6093,79.72,78,9,10.76
278,Rusape,ZW,2021-03-31 17:14:19,-18.5278,32.1284,58.87,78,52,3.78
279,Mae Sot,TH,2021-03-31 17:14:19,16.7167,98.5667,73.85,79,6,3.09
280,Cockburn Town,TC,2021-03-31 17:14:19,21.4612,-71.1419,77.49,78,1,24.23
281,Disna,BY,2021-03-31 17:14:19,55.568,28.1971,52.45,75,56,9.24
282,Ambon,ID,2021-03-31 17:14:20,-3.6954,128.1814,81.37,77,73,4.52
283,Souillac,MU,2021-03-31 17:14:20,-20.5167,57.5167,80.6,83,20,6.22
284,Comodoro Rivadavia,AR,2021-03-31 17:13:29,-45.8667,-67.5,57.2,77,40,8.05
285,Los Llanos De Aridane,ES,2021-03-31 17:14:20,28.6585,-17.9182,71.6,46,20,17.27
286,Baiyin,CN,2021-03-31 17:14:20,36.5583,104.2081,43.0,87,75,6.71
287,Port Macquarie,AU,2021-03-31 17:11:32,-31.4333,152.9167,61.0,99,95,1.01
288,Baruun-Urt,MN,2021-03-31 17:14:21,46.6806,113.2792,40.64,38,100,3.53
289,Hofn,IS,2021-03-31 17:14:21,64.2539,-15.2082,42.8,52,0,5.75
290,Navrongo,GH,2021-03-31 17:14:21,10.8956,-1.0921,101.43,9,66,9.84
291,Nicoya,CR,2021-03-31 17:14:21,10.1483,-85.452,91.4,46,20,25.32
292,Kawalu,ID,2021-03-31 17:14:22,-7.3817,108.2082,72.46,94,88,1.77
293,Salalah,OM,2021-03-31 17:14:22,17.0151,54.0924,87.8,45,0,4.61
294,Poopo,BO,2021-03-31 17:14:22,-18.3667,-66.9667,62.6,51,75,6.91
295,Dracena,BR,2021-03-31 17:14:22,-21.4843,-51.535,90.21,33,39,14.16
